Place,Name,Gender,Time
525,SAMBOR Mariusz,M,38:55:31
526,PAPIN Yohan,M,38:56:54
527,DVORAKOVA Martina,F,38:57:43
528,DUNCAN Toby,M,38:59:28
529,VIGNOT Florian,M,39:00:37
530,FUZZI Andrea,M,39:00:45
531,KLEIN Lionel,M,39:00:56
532,ARIAS RESCO Jorge,M,39:01:05
533,MASQUELIER Franck,M,39:03:14
534,SOUTEYRAND Philippe,M,39:03:22
535,DEBEVC Amanda,F,39:03:23
536,FERRARD Olivier,M,39:05:03
537,WILLIAMS Thomas,M,39:06:08
538,PONCELET Renaud,M,39:06:30
539,CATTEAU Francois,M,39:07:49
540,DE NARP Augustin,M,39:08:43
541,IREN Deniz,M,39:09:55
542,AYSOLMAZ Banu,F,39:09:56
543,AGOSTINI Serge,M,39:10:45
544,GAUDUCHON Bertrand,M,39:11:20
545,HOLROYD Ivan,M,39:11:52
546,LAFONT Albin,M,39:15:30
547,HERNANDO MOLPECERES Flora,F,39:16:29
548,SCHULZ-NIGMANN Lüder,M,39:16:31
549,SCHVARCZ Jozef,M,39:17:19
550,JANOS Mario,M,39:17:19
551,KHADRI Ahkim,M,39:17:33
552,ER-RAFIQI Gharib,M,39:17:36
553,SIMON Laurent,M,39:17:38
554,PREZZI Filippo,M,39:18:22
555,LUYENS Yves,M,39:18:50
556,PROST Olivier,M,39:18:56
557,RODRIGUEZ Thierry,M,39:19:29
558,DRUESNE Alexandre,M,39:19:33
559,MAILLARD Julien,M,39:19:33
560,NETA Paulo,M,39:20:35
561,MADUREIRA Joaquim Rodrigues,M,39:20:35
562,JOE Jimmie,M,39:21:31
563,UGOLOTTI Marco,M,39:22:00
564,BAIRD Ute,F,39:22:42
565,DUMONT Raphaël,M,39:23:07
566,HEISSL Thomas,M,39:23:13
567,MARTIN Xavier,M,39:23:43
568,RYERSON Zachary,M,39:24:17
569,CCORAHUA HUALLPA Martha,F,39:24:17
570,MARTELET Julien,M,39:24:17
571,SÉNÉCHAL Jérémy,M,39:26:27
572,MORELL Roman,M,39:28:45
573,BELTRAN HERRAEZ Edgar,M,39:28:47
574,ALMAR Rafael,M,39:29:03
575,GARNIER Thibault,M,39:31:01
576,PARMANTIER Fabien,M,39:31:11
577,VIGNON Clément,M,39:31:31
578,LONG Nathalie,F,39:32:04
579,BERNARD Olivier,M,39:33:03
580,DOUCHET Etienne,M,39:34:34
581,BYIERS Bruce,M,39:34:47
582,CHATAING Sebastien,M,39:35:48
583,BELZUNCE Benoit,M,39:36:20
584,MIEUSSET Christophe,M,39:36:25
585,EDØY Odd,M,39:37:43
586,LALUS Robert,M,39:37:46
587,GADIOT Frederique,F,39:37:57
588,DHALLUIN Nicolas,M,39:38:59
589,SHIMMONS Aaron,M,39:39:17
590,THIRIET Fabien,M,39:40:03
591,DELAITRE Olivier,M,39:40:09
592,SZAFRANIEC Artur,M,39:40:11
593,JABY Nicolas,M,39:40:14
594,TABBERNOR David,M,39:40:34
595,ALFIERI Nicola,M,39:41:22
596,DICK Demeter,M,39:41:27
597,AH-SON Jean-François,M,39:41:39
598,SCHLOSSER Frank,M,39:43:13
599,SCHILLINGER Laurent,M,39:43:16
600,DEMBA Daoud,M,39:44:29
601,TAILLANDIER Arnaud,M,39:44:39
602,LAFARGE Stephane,M,39:45:44
603,MAURI Cesare,M,39:46:24
604,BOSCARINO Girolamo,M,39:46:30
605,KAMKOUM  Adam,M,39:47:37
606,VIGNE Patrice,M,39:48:00
607,SKOWRON Radosław,M,39:49:22
608,DUMOND Sylviane,F,39:49:43
609,TROLLTOFT Tomas,M,39:49:48
610,LEE Sean,M,39:49:50
611,VINCENT Nicolas,M,39:51:15
612,BOLJANIC Ivan,M,39:51:19
613,CLERC Nicolas,M,39:51:38
614,PAULINYOVA Radka,F,39:54:01
615,OLAWIŃSKI Karol,M,39:54:29
616,DOUBLET Lionel,M,39:56:03
617,MOURA Jemp,M,39:56:07
618,FERREIRA Valentin,M,39:56:40
619,CODA David,M,39:57:20
620,FRANCOIS Matthias,M,39:57:48
621,CALONGE PEREZ Juan Francisco,M,39:58:48
622,TROHAY Fabien,M,39:59:00
623,CYGAN Piotr,M,39:59:46
624,SIRACUSA Alfonso,M,39:59:49
625,SZCZOTKA Paweł,M,40:00:16
626,DELMAS Christophe,M,40:01:19
627,ABOLTINS Elmars,M,40:01:41
628,FRANQUINE Jerome,M,40:02:43
629,NAVARRETE Daniela,F,40:03:04
630,BRINDLE Olivia,F,40:03:50
631,GUIRONNET Sébastien,M,40:04:08
632,ANDERSSON Sebastian,M,40:05:15
633,DEFRANCE Fabrice,M,40:05:17
634,CHALUT Laurent,M,40:06:05
635,VOLTOLINI David,M,40:07:30
636,SCHIAVETTI Marco,M,40:08:04
637,VALK Priit,M,40:08:23
638,MACHADO Luis,M,40:10:17
639,PLOSNITA (DANCU) Adriana,F,40:10:18
640,PLOSNITA Adrian,M,40:10:19
641,DEBARNOT David,M,40:10:33
642,MICHAUD David,M,40:10:37
643,PEREIRA Nuno Filipe Santos,M,40:11:13
644,DUIN Jeroen,M,40:11:38
645,BADOWSKI Jerzy,M,40:11:40
646,CELESTIN DEVENDRA Benedict,M,40:11:41
647,KRIEGER Thibaut,M,40:12:43
648,BACON Jonathan,M,40:13:03
649,PRZYBYŁ Rafał,M,40:16:05
